Player,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MVP_Award_Year,PlayerPhoto,TeamLogo,PlayerInfo
Nikola Jokić,2015-16,20,DEN,NBA,C,80.0,55,21.7,3.8,7.5,0.512,0.4,1.1,0.333,3.5,6.5,0.541,0.535,1.9,2.4,0.811,2.3,4.7,7.0,2.4,1.0,0.6,1.3,2.6,10.0,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2016-17,21,DEN,NBA,C,73.0,59,27.9,6.8,11.7,0.578,0.6,1.9,0.324,6.2,9.8,0.628,0.605,2.6,3.1,0.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2017-18,22,DEN,NBA,C,75.0,73,32.6,6.7,13.5,0.499,1.5,3.7,0.396,5.2,9.7,0.538,0.554,3.5,4.2,0.85,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2018-19,23,DEN,NBA,C,80.0,80,31.3,7.7,15.1,0.511,1.0,3.4,0.307,6.7,11.7,0.569,0.545,3.6,4.4,0.821,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2019-20,24,DEN,NBA,C,73.0,73,32.0,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2020-21,25,DEN,NBA,C,72.0,72,34.6,10.2,18.0,0.566,1.3,3.3,0.388,8.9,14.7,0.606,0.602,4.8,5.5,0.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2021-22,26,DEN,NBA,C,74.0,74,33.5,10.3,17.7,0.583,1.3,3.9,0.337,9.0,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2022-23,27,DEN,NBA,C,69.0,69,33.7,9.4,14.8,0.632,0.8,2.2,0.383,8.5,12.7,0.675,0.66,4.9,6.0,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2023-24,28,DEN,NBA,C,79.0,79,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
Nikola Jokić,2024-25,29,DEN,NBA,C,51.0,51,36.0,11.2,19.5,0.574,2.1,4.6,0.447,9.1,14.8,0.613,0.627,5.0,6.1,0.821,3.0,9.6,12.7,10.2,1.8,0.6,3.2,2.2,29.4,2023-24,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"Nikola Jokić (Serbian Cyrillic: Никола Јокић, pronounced ⓘ; born February 19, 1995) is a Serbian professional basketball player who is a center for the Denver Nuggets of the National Basketball Association (NBA). Nicknamed ""the Joker"", he is widely regarded as one of the greatest players and centers of all time, and is often considered the greatest draft steal in NBA history. A seven-time NBA All-Star, Jokić has been named to the All-NBA Team on six occasions (including four first-team selections), and won the NBA Most Valuable Player Award for the 2020–21, 2021–22, and 2023–24 seasons. He represents the Serbian national team, with which he won a silver medal at the 2016 Summer Olympics, and a bronze medal at the 2024 Summer Olympics."
